,Year,Picture,Laureate,Country,Language(s),Citation,Genre(s)
10,1910,,Paul von Heyse (1830 – 1914),Germany,German,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""[25]","poetry, drama, novel, short story"
11,1911,,Maurice Maeterlinck (1862 – 1949),Belgium,French,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""[26]","drama, poetry, essay"
12,1912,,Gerhart Hauptmann (1862 – 1949),Germany,German,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""[27]","drama, novel"
13,1913,,Rabindranath Tagore (1861 – 1941),India( British Empire),Bengali and English,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""[28]","poetry, novel, drama, short story, music, essay, philosophy, literary criticism, translation"
14,1914,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
15,1915,,Romain Rolland (1866 – 1940),France,French,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""[12]",novel
16,1916,,Verner von Heidenstam (1859 – 1940),Sweden,Swedish,"""in recognition of his significance as the leading representative of a new era in our literature""[29]","poetry, novel"
17,1917,,Karl Adolph Gjellerup (1857 – 1919),Denmark,Danish and German,"""for his varied and rich poetry, which is inspired by lofty ideals""[30]",poetry
18,1917,,Henrik Pontoppidan (1857 – 1943),Denmark,Danish,"""for his authentic descriptions of present-day life in Denmark""[30]",novel
19,1918,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
20,1919,,Carl Spitteler (1845 – 1924),Switzerland,German,"""in special appreciation of his epic, Olympian Spring""[31]",poetry
21,1920,,Knut Hamsun (1859 – 1952),Norway,Norwegian,"""for his monumental work, Growth of the Soil""[32]",novel
22,1921,,Anatole France (1844 – 1924),France,French,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""[33]","novel, poetry"
23,1922,,Jacinto Benavente (1866 – 1954),Spain,Spanish,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""[34]",drama
24,1923,,William Butler Yeats (1865 – 1939),Ireland,English,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation""[35]",poetry
25,1924,,Władysław Reymont (1867 – 1925),Poland,Polish,"""for his great national epic, The Peasants""[36]",novel
26,1925,,George Bernard Shaw (1856 – 1950),Ireland[37],English,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty""[38]","drama, literary criticism"
27,1926,,Grazia Deledda (1871 – 1936),Italy,Italian,"""for her idealistically inspired writings, which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""[39]","poetry, novel"
28,1927,,Henri Bergson (1859 – 1941),France,French,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""[40]",philosophy
29,1928,,Sigrid Undset (1882 – 1949),Norway(Born in Denmark),Norwegian,"""principally for her powerful descriptions of Northern life during the Middle Ages""[41]",novel
30,1929,,Thomas Mann (1875 – 1955),Germany,German,"""principally for his great novel, Buddenbrooks, which has won steadily increased recognition as one of the classic works of contemporary literature""[42]","novel, short story, essay"
31,1930,,Sinclair Lewis (1885 – 1951),United States,English,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters""[43]","novel, short story, drama"
32,1931,,Erik Axel Karlfeldt (1864 – 1931),Sweden,Swedish,"""The poetry of Erik Axel Karlfeldt""[44]",poetry
33,1932,,John Galsworthy (1867 – 1933),United Kingdom,English,"""for his distinguished art of narration, which takes its highest form in The Forsyte Saga""[45]",novel
34,1933,,Ivan Bunin (1870 – 1953),Stateless(Born in Russian Empire),Russian,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""[46]","short story, poetry, novel"
35,1934,,Luigi Pirandello (1867 – 1936),Italy,Italian,"""for his bold and ingenious revival of dramatic and scenic art""[47]","drama, novel, short story"
36,1935,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
37,1936,,Eugene O'Neill (1888 – 1953),United States,English,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy""[48]",drama
38,1937,,Roger Martin du Gard (1881 – 1958),France,French,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel cycle Les Thibault""[49]",novel
39,1938,,Pearl Buck (1892 – 1973),United States,English,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""[50]","novel, biography"
40,1939,,Frans Eemil Sillanpää (1888 – 1964),Finland,Finnish,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""[51]",novel
41,1940,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
42,1941,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
43,1942,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
44,1943,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
45,1944,,Johannes Vilhelm Jensen (1873 – 1950),Denmark,Danish,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""[52]","novel, short story"
46,1945,,Gabriela Mistral (1889 – 1957),Chile,Spanish,"""for her lyric poetry, which inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""[53]",poetry
47,1946,,Hermann Hesse (1877 – 1962),Germany Switzerland(Born in Germany),German,"""for his inspired writings, which while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""[54]","novel, poetry"
48,1947,,André Gide (1869 – 1951),France,French,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""[55]","novel, essay"
49,1948,,Thomas Stearns Eliot (1888 – 1965),United Kingdom(Born in the United States),English,"""for his outstanding, pioneer contribution to present-day poetry""[56]",poetry
50,1949,,William Faulkner (1897 – 1962),United States,English,"""for his powerful and artistically unique contribution to the modern American novel""[13]","novel, short story"
51,1950,,Bertrand Russell (1872 – 1970),United Kingdom,English,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""[57]",philosophy
52,1951,,Pär Lagerkvist (1891 – 1974),Sweden,Swedish,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""[58]","poetry, novel, short story, drama"
